City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Manado,ID,2022-04-17 02:54:29,1.487,124.8455,86.77,74,40,3.44
176,Nueva Loja,EC,2022-04-17 02:54:30,0.0847,-76.8828,71.1,99,87,1.45
177,Laguna,US,2022-04-17 02:54:30,38.421,-121.4238,62.74,63,0,10.36
178,Ulhasnagar,IN,2022-04-17 02:49:55,19.2167,73.15,82.4,60,0,3.36
179,Sinnamary,GF,2022-04-17 02:54:31,5.3833,-52.95,77.38,88,97,11.27
180,Tavricheskoye,RU,2022-04-17 02:54:32,54.5851,73.6395,48.11,53,98,9.1
181,Chissamba,AO,2022-04-17 02:54:32,-12.1667,17.3333,60.48,97,97,1.19
182,Lasa,IT,2022-04-17 02:55:33,46.6166,10.7002,36.7,63,11,6.15
183,Gawler,AU,2022-04-17 02:55:34,-34.6,138.7333,77.97,58,100,12.12
184,Taltal,CL,2022-04-17 02:55:35,-25.4,-70.4833,61.61,75,0,4.32
185,Port Hedland,AU,2022-04-17 02:55:35,-20.3167,118.5667,102.25,12,9,11.5
186,Buta,CD,2022-04-17 02:55:36,2.7858,24.73,68.47,99,97,2.59
187,Esperance,AU,2022-04-17 02:55:37,-33.8667,121.9,64.24,65,95,14.97
188,Bousso,TD,2022-04-17 02:55:37,10.4795,16.7117,85.6,44,10,2.42
189,Makubetsu,JP,2022-04-17 02:55:39,45.3714,141.8211,44.31,93,75,10.36
190,Bethlehem,BR,2022-04-17 02:55:40,-1.4558,-48.5044,75.24,100,0,2.3
191,Talnakh,RU,2022-04-17 02:55:41,69.4865,88.3972,14.13,94,99,16.08
192,Khatanga,RU,2022-04-17 02:55:41,71.9667,102.5,22.96,94,91,8.84
193,Nanortalik,GL,2022-04-17 02:55:42,60.1432,-45.2371,28.9,84,94,8.63
194,Ambon,ID,2022-04-17 02:55:42,-3.6954,128.1814,91.54,66,20,2.3
195,Kaitangata,NZ,2022-04-17 02:55:43,-46.2817,169.8464,55.78,60,86,10.47
196,Bintulu,MY,2022-04-17 02:55:43,3.1667,113.0333,84.61,83,40,5.01
197,Kolokani,ML,2022-04-17 02:55:44,13.5728,-8.0339,79.16,44,66,8.08
198,Bako,ET,2022-04-17 02:55:44,5.7833,36.5667,62.47,91,100,4.03
199,Delbruck,DE,2022-04-17 02:55:45,51.7667,8.5667,38.71,72,0,5.75
200,Pochutla,MX,2022-04-17 02:55:45,15.7432,-96.4661,83.82,68,10,6.87
201,Jalu,LY,2022-04-17 02:55:45,29.0331,21.5482,69.76,50,100,16.51
202,Dingle,PH,2022-04-17 02:55:46,10.9995,122.6711,86.02,66,100,8.99
203,Port Hardy,CA,2022-04-17 02:45:21,50.6996,-127.4199,46.58,57,75,16.11
204,Duzce,TR,2022-04-17 02:55:46,40.8389,31.1639,55.89,63,45,4.68
205,Andra,RU,2022-04-17 02:55:47,62.5147,65.8878,24.76,91,100,2.64
206,Krasnoyarskiy,RU,2022-04-17 02:55:48,51.965,59.8967,40.01,75,3,7.0
207,Paamiut,GL,2022-04-17 02:55:48,61.994,-49.6678,21.97,88,18,3.18
208,Suluq,LY,2022-04-17 02:55:50,31.6682,20.2521,61.74,84,87,10.98
209,Thompson,CA,2022-04-17 02:53:31,55.7435,-97.8558,23.16,46,100,5.75
210,Namatanai,PG,2022-04-17 02:55:50,-3.6667,152.4333,84.36,71,63,8.03
211,Kruisfontein,ZA,2022-04-17 02:53:19,-34.0033,24.7314,58.89,92,0,2.3
212,Swan Hill,AU,2022-04-17 02:55:52,-35.3378,143.5544,83.91,25,17,15.64
213,Blackfoot,US,2022-04-17 02:55:52,43.1905,-112.345,43.05,65,57,20.04
214,Nantucket,US,2022-04-17 02:55:53,41.2835,-70.0995,55.45,88,76,12.5
215,Guerrero Negro,MX,2022-04-17 02:55:53,27.9769,-114.0611,59.83,85,63,19.01
216,Port-Gentil,GA,2022-04-17 02:55:54,-0.7193,8.7815,80.78,81,100,6.64
217,Vardo,NO,2022-04-17 02:55:55,70.3705,31.1107,38.1,83,100,28.99
218,Consett,GB,2022-04-17 02:55:55,54.854,-1.8316,51.22,88,100,5.91
219,Chateaudun,FR,2022-04-17 02:55:56,48.0833,1.3333,46.94,92,0,8.16
220,Gigante,CO,2022-04-17 02:55:57,2.3868,-75.5453,69.62,85,100,3.74
221,Vestmannaeyjar,IS,2022-04-17 02:43:02,63.4427,-20.2734,45.77,86,59,12.75
222,Montescaglioso,IT,2022-04-17 02:55:59,40.5522,16.6669,55.38,73,100,22.5
223,Walvis Bay,NA,2022-04-17 02:55:59,-22.9575,14.5053,52.75,100,26,1.14
224,Aden,YE,2022-04-17 02:56:00,12.7794,45.0367,80.87,81,53,6.13
225,Roald,NO,2022-04-17 02:56:00,62.5833,6.1333,43.75,100,100,5.75
226,Zhezkazgan,KZ,2022-04-17 02:56:00,47.8043,67.7144,51.78,62,0,20.13
227,Inhambane,MZ,2022-04-17 02:57:01,-23.865,35.3833,72.68,91,79,5.95
228,Saint Anthony,US,2022-04-17 02:57:01,45.0205,-93.218,35.2,48,0,4.61
229,Kizilskoye,RU,2022-04-17 02:57:02,52.7255,58.8937,37.54,80,15,5.88
230,West Bay,KY,2022-04-17 02:57:02,19.3667,-81.4167,80.67,80,20,3.44
231,Kanniyakumari,IN,2022-04-17 02:57:03,8.0833,77.5667,84.72,73,40,13.76
232,Ribeira Grande,PT,2022-04-17 02:54:21,38.5167,-28.7,59.25,78,2,19.75
233,Gidole,ET,2022-04-17 02:57:04,5.65,37.3667,57.99,85,100,1.19
234,Miri,MY,2022-04-17 02:57:04,4.4148,114.0089,89.74,70,40,8.05
235,Nemuro,JP,2022-04-17 02:57:04,43.3236,145.575,40.89,77,5,16.93
236,Mastic Beach,US,2022-04-17 02:57:05,40.7668,-72.8521,49.08,75,84,8.01
237,Coquimbo,CL,2022-04-17 02:56:28,-29.9533,-71.3436,56.93,88,75,4.61
238,Adrar,MR,2022-04-17 02:57:05,20.5022,-10.0711,74.86,15,0,12.08
239,Bondo,CD,2022-04-17 02:57:06,3.8146,23.6866,68.38,97,61,2.68
240,Buncrana,IE,2022-04-17 02:57:06,55.1333,-7.45,50.95,95,100,7.96
241,Kodiak,US,2022-04-17 02:57:06,57.79,-152.4072,38.66,75,100,10.42
242,Sulangan,PH,2022-04-17 02:57:07,11.1373,123.7228,82.31,73,69,8.1
243,Maputo,MZ,2022-04-17 02:57:07,-25.9653,32.5892,64.08,94,75,17.27
244,Saint George,US,2022-04-17 02:53:36,37.1041,-113.5841,72.19,21,0,14.97
245,Grindavik,IS,2022-04-17 02:57:08,63.8424,-22.4338,44.55,100,75,14.97
246,Hualmay,PE,2022-04-17 02:57:09,-11.0964,-77.6139,66.51,85,99,8.05
247,Coari,BR,2022-04-17 02:57:09,-4.085,-63.1414,73.58,93,100,0.85
248,Mahanoro,MG,2022-04-17 02:57:10,-19.9,48.8,71.71,93,21,5.57
249,Alofi,NU,2022-04-17 02:57:10,-19.0595,-169.9187,85.89,70,64,8.05
250,Tessalit,ML,2022-04-17 02:57:10,20.1986,1.0114,69.21,25,100,9.64
251,Xingcheng,CN,2022-04-17 02:57:11,40.6167,120.7167,66.83,18,86,8.77
252,Lascahobas,HT,2022-04-17 02:57:11,18.8294,-71.9364,72.48,82,100,4.83
253,Jawhar,SO,2022-04-17 02:57:12,2.7809,45.5005,78.62,85,100,5.68
254,Tura,IN,2022-04-17 02:54:48,25.5198,90.2201,79.99,71,5,7.81
255,Makakilo City,US,2022-04-17 02:57:13,21.3469,-158.0858,74.95,77,100,10.36
256,Vila Franca Do Campo,PT,2022-04-17 02:57:13,37.7167,-25.4333,61.21,91,99,9.1
257,Arman,RU,2022-04-17 02:57:14,59.7,150.1667,34.02,63,77,3.44
258,Cockburn Town,TC,2022-04-17 02:55:19,21.4612,-71.1419,77.54,84,100,22.75
259,Tay Ninh,VN,2022-04-17 02:57:14,11.3,106.1,88.7,52,100,8.59
260,Chimbote,PE,2022-04-17 02:57:15,-9.0853,-78.5783,65.48,88,96,6.08
261,Te Anau,NZ,2022-04-17 02:57:15,-45.4167,167.7167,56.5,52,95,0.54
262,Ostrovnoy,RU,2022-04-17 02:57:16,68.0531,39.5131,35.85,97,100,21.47
263,Luanda,AO,2022-04-17 02:52:38,-8.8368,13.2343,76.26,90,100,7.36
264,Lebu,CL,2022-04-17 02:57:16,-37.6167,-73.65,52.65,92,50,9.19
265,Manavalakurichi,IN,2022-04-17 02:57:17,8.1333,77.3,84.92,71,37,9.55
266,Tautira,PF,2022-04-17 02:57:17,-17.7333,-149.15,79.59,76,5,9.8
267,Camocim,BR,2022-04-17 02:57:17,-2.9022,-40.8411,76.19,91,98,5.84
268,Fort Nelson,CA,2022-04-17 02:53:31,58.8053,-122.7002,18.99,73,100,10.36
269,Acapulco,MX,2022-04-17 02:55:36,16.8634,-99.8901,78.37,66,6,4.74
270,Kralendijk,BQ,2022-04-17 02:57:19,12.15,-68.2667,79.3,86,2,26.62
271,Ajdabiya,LY,2022-04-17 02:57:19,30.7554,20.2263,63.05,84,100,16.98
272,Sayyan,YE,2022-04-17 02:58:20,15.1718,44.3244,58.87,29,8,2.1
273,Bajil,YE,2022-04-17 02:53:28,15.0584,43.2851,80.22,61,24,3.02
274,Brae,GB,2022-04-17 02:58:20,60.3964,-1.353,46.13,95,100,14.05
275,Privolzhye,RU,2022-04-17 02:58:21,52.8649,48.6044,48.38,76,100,11.27
276,Bonthe,SL,2022-04-17 02:55:46,7.5264,-12.505,77.2,80,49,4.52
