City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
211,Bambous Virieux,MU,80.22,-20.3428,57.7575,Casa Tia Villa
218,Belyy Yar,RU,71.49,53.6039,91.3903,Pasportnyy Stol
219,Fare,PF,80.67,-16.7,-151.0167,Maitai Lapita Village Huahine
221,Lang Suan,TH,82.26,9.9456,99.0785,Langsuan Resort
223,Ormara,PK,82.85,25.2088,64.6357,Kenara Colony house for Rent
226,San Jose De Guanipa,VE,75.49,8.8872,-64.1651,HOTEL 283 SUITES
228,Ponta Do Sol,PT,75.13,32.6667,-17.1,Hotel do Campo
232,Bandarbeyla,SO,87.44,9.4942,50.8122,JABIR HOTEL
243,Hobyo,SO,87.93,5.3505,48.5268,Iftin hotel hobyo
249,Porto Novo,BJ,87.62,6.4965,2.6036,Tour Eiffel Hotel Benin
251,Colares,PT,72.03,38.7992,-9.4469,Arribas Sintra Hotel
252,Shilong,CN,77.0,23.1123,113.8425,Cinese Hotel Dongguan Shijie
255,Abha,SA,79.05,18.2164,42.5053,Abha Hotel
259,Galle,LK,83.64,6.0367,80.217,Amangalla
260,Sawakin,SD,92.26,19.1059,37.3321,فندق الدويم
271,Kloulklubed,PW,75.7,7.0419,134.2556,Storyboard Beach Resort
272,Japura,ID,77.0,-0.3167,102.35,Rumah mbah Jamah
274,Sorong,ID,82.72,-0.8833,131.25,Waigo Splash Hotel
278,Vila Velha,BR,78.75,-20.3297,-40.2925,Hotel Vitória Palace
280,Tete,MZ,91.49,-16.1564,33.5867,Zambeze Paraíso Misterioso
283,Sola,VU,81.57,-13.8833,167.55,Leumerus Bungalows
287,Belmonte,BR,76.55,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
289,Lethem,GY,80.19,3.3803,-59.7968,Savannah Inn
295,Cayenne,GF,84.09,4.9333,-52.3333,Hôtel Le Dronmi
296,Sale,MA,85.64,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
298,Ampanihy,MG,92.25,-24.7,44.75,Angora Hotel
300,Tefe,BR,77.11,-3.3542,-64.7114,Aracati Hotel
304,Gigmoto,PH,77.76,13.7796,124.39,Cj's Travellers Inn
307,Acajutla,SV,79.9,13.5928,-89.8275,Laureles
310,Banjar,ID,80.55,-8.19,114.9675,The Hamsa Resort
318,Portobelo,PA,79.95,9.55,-79.65,Scuba Portobelo
319,Kermanshah,IR,70.7,34.3142,47.065,Sina Hotel
321,Oistins,BB,78.89,13.0667,-59.5333,Butterfly Beach Hotel
324,Namatanai,PG,81.34,-3.6667,152.4333,Seagulls Inn Namatani
325,Quang Ngai,VN,75.22,15.1167,108.8,Central Hotel
328,Makakilo City,US,72.01,21.3469,-158.0858,Marriott's Ko Olina Beach Club
334,Tsabong,BW,77.97,-26.0217,22.401,Springbok Motel
336,Nabire,ID,78.22,-3.3667,135.4833,Hotel Nusantara I
