City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
345,Praia,14.9215,-23.5087,73.47,70,63,12.48,CV
346,Kapit,2.0167,112.9333,75.81,97,87,0.43,MY
347,Hambantota,6.1241,81.1185,79.14,89,88,4.61,LK
348,Valera,9.3178,-70.6036,71.62,96,100,1.16,VE
349,Taperoa,-7.2075,-36.8267,77.4,74,47,7.58,BR
350,Copiapo,-27.3667,-70.3333,63.16,55,0,1.05,CL
351,Torbay,47.6666,-52.7314,46.89,68,100,11.5,CA
352,Valdivia,-39.8142,-73.2459,47.57,92,41,1.61,CL
353,Misratah,32.3754,15.0925,65.26,69,43,26.8,LY
354,Koslan,63.4564,48.8989,36.23,83,100,10.33,RU
355,Cangas,42.2641,-8.7846,69.4,53,0,6.91,ES
356,Gao,16.6362,1.637,90.93,9,90,15.35,ML
357,Tchibanga,-2.85,11.0333,93.34,52,75,0.0,GA
358,Inhambane,-23.865,35.3833,74.26,88,100,5.73,MZ
359,Tutoia,-2.7619,-42.2744,82.63,76,91,5.3,BR
360,Methoni,36.8197,21.7049,67.21,62,100,7.81,GR
361,Pitimbu,-7.4706,-34.8086,81.19,73,93,7.56,BR
362,Saint-Joseph,-21.3667,55.6167,82.2,81,22,11.9,RE
363,Andapa,-14.65,49.65,82.27,60,34,4.43,MG
364,Altus,34.6381,-99.334,50.56,76,0,6.91,US
365,Otradnoye,59.7775,30.8181,50.04,46,86,5.66,RU
366,Ramanuj Ganj,23.8,83.7,100.96,6,0,9.24,IN
367,Atar,20.5169,-13.0499,98.65,22,25,20.71,MR
368,Cockburn Town,21.4612,-71.1419,77.97,80,99,19.35,TC
369,Gushikawa,26.3544,127.8686,67.23,71,0,9.22,JP
370,Alexandria,31.2156,29.9553,94.1,18,61,15.84,EG
371,Viedma,-40.8135,-62.9967,57.94,79,33,7.38,AR
372,Bontang,0.1333,117.5,81.19,81,88,10.0,ID
373,Jiuquan,39.7432,98.5174,52.36,19,2,6.26,CN
374,Dongsheng,39.8161,109.9776,42.35,56,91,7.9,CN
375,Prince Rupert,54.3161,-130.3201,38.89,86,0,12.66,CA
376,Limbang,4.75,115.0,84.31,84,52,3.15,MY
377,Derzhavinsk,51.1,66.3167,62.56,37,60,7.81,KZ
378,Hadsund,56.7148,10.1168,57.94,46,73,3.4,DK
379,Adiake,5.2863,-3.304,77.77,87,100,4.94,CI
380,Rodeo,38.033,-122.2669,48.18,88,0,10.36,US
381,Acarau,-2.8856,-40.12,81.9,81,68,8.93,BR
382,Ponta Delgada,37.7333,-25.6667,65.12,68,20,17.27,PT
383,Anjangaon,21.1631,77.3094,103.08,9,1,9.78,IN
384,Santo Domingo,18.5001,-69.9886,75.04,90,75,1.99,DO
385,Deputatskiy,69.3,139.9,4.44,100,100,3.36,RU
386,Yaring,6.8662,101.3689,81.97,82,59,8.61,TH
387,Durban,-29.8579,31.0292,69.03,85,100,3.0,ZA
388,Petropavlovsk-Kamchatskiy,53.0452,158.6483,28.99,74,0,6.71,RU
389,Kuybysheve,47.358,36.6491,61.21,48,100,8.19,UA
390,Semnan,35.5729,53.3971,63.55,32,30,8.37,IR
391,Denpasar,-8.65,115.2167,83.86,83,20,5.75,ID
392,Bengkulu,-3.8004,102.2655,81.59,79,45,3.78,ID
393,Le Port,-20.9373,55.2919,84.16,70,11,0.29,RE
394,Ovsyanka,55.9575,92.5519,67.17,74,96,6.55,RU
395,Sao Jose De Ribamar,-2.5619,-44.0542,86.38,80,92,2.15,BR
396,Port-Gentil,-0.7193,8.7815,89.56,66,40,11.5,GA
397,Luderitz,-26.6481,15.1594,73.9,51,0,13.13,NA
398,Aksum,14.1245,38.7244,67.51,50,54,6.93,ET
399,Takoradi,4.8845,-1.7554,85.69,67,100,4.56,GH
400,Concarneau,47.875,-3.9225,65.82,78,100,6.73,FR
401,Cap-Aux-Meules,47.3821,-61.8597,44.65,87,100,24.16,CA
402,Swan Hill,-35.3378,143.5544,71.33,44,100,10.16,AU
403,Beringovskiy,63.05,179.3167,29.68,98,100,16.37,RU
404,Manaure,11.7751,-72.4445,80.06,77,100,14.32,CO
405,Jetpur,21.7333,70.6167,99.12,15,0,17.54,IN
406,Marsh Harbour,26.5412,-77.0636,75.52,77,18,11.83,BS
